,gameid,GameDate,ab,pitchnum,inning,teambat,balls,strikes,outs,pitcher,pitcherthrows,batter,batterside,pitchresult,pitchresult_desc,eventtype,pitchname,pitchname_desc,spinrate,relspeed,horzbreak,inducedvertbreak,platelocside,platelocheight,hometeam_id,Home,awayteam_id,Visitor,venue_id,venue_name
279776,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,49,5,6.0,0,3.0,1.0,2.0,"Okert, Steven",L,"Harper, Bryce",L,B,Ball - Called,walk,SL,Slider,2494.912598,82.33535004,6.655596256,13.3668623,-1.045195103,1.482793808,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279777,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,49,4,6.0,0,2.0,1.0,2.0,"Okert, Steven",L,"Harper, Bryce",L,B,Ball - Called,ball,FF,Four-seam FB,2252.200439,93.01861572,-4.977047443,13.34420586,-0.592078507,3.240914822,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279778,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,49,3,6.0,0,2.0,0.0,2.0,"Okert, Steven",L,"Harper, Bryce",L,F,Strike - Foul,foul,FF,Four-seam FB,2289.497803,92.31728363,-10.95061779,16.23552132,-0.236889362,2.289742947,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279779,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,49,2,6.0,0,1.0,0.0,2.0,"Okert, Steven",L,"Harper, Bryce",L,B,Ball - Called,ball,SL,Slider,2560.346924,82.94555664,6.630698204,9.533354759,-0.250273436,1.319910645,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279780,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,49,1,6.0,0,0.0,0.0,2.0,"Okert, Steven",L,"Harper, Bryce",L,B,Ball - Called,ball,FF,Four-seam FB,2407.680176,93.9892807,-9.608345985,16.39588928,-1.224827766,1.756810665,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279790,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,48,5,6.0,0,2.0,2.0,2.0,"Okert, Steven",L,"Bohm, Alec",R,E,Hit Into Play - Run(s),double,SL,Slider,2545.957031,83.28416443,1.700373411,10.5851469,-0.327433527,2.445672035,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279791,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,48,4,6.0,0,1.0,2.0,2.0,"Okert, Steven",L,"Bohm, Alec",R,B,Ball - Called,ball,SL,Slider,2478.687988,81.82124329,8.053872108,5.841321945,-0.201835915,1.378533363,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279792,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,48,3,6.0,0,1.0,1.0,2.0,"Okert, Steven",L,"Bohm, Alec",R,S,Strike - Swinging,swinging_strike,FF,Four-seam FB,2183.291748,92.34954834,-5.375501633,12.80384731,0.030744476,4.05969286,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279793,2023/08/02/phimlb-miamlb-1,8/2/2023 22:40,48,2,6.0,0,1.0,0.0,2.0,"Okert, Steven",L,"Bohm, Alec",R,F,Strike - Foul,foul,SL,Slider,2392.685059,79.86962128,3.459464073,11.77765465,-0.296885639,1.777464867,146,Miami Marlins,143,Philadelphia Phillies,4169,loanDepot park
279920,2023/06/24/pitmlb-miamlb-1,6/24/2023 20:10,44,7,6.0,0,3.0,2.0,2.0,"Okert, Steven",L,"Santana, Carlos",R,B,Ball - Called,walk,FF,Four-seam FB,2273.637939,93.66749573,-9.171896935,13.19921494,-1.776294947,2.354572296,146,Miami Marlins,134,Pittsburgh Pirates,4169,loanDepot park
